"FACEID","CHECKSTATUS","CREATEUSER","MODIFYUSER","DELETEUSER","CREATETIME","MODIFYTIME","DELETETIME","TITLEIMAGE","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","DELFLAG","VIDEOID","CREATEREQIP","DELETEREQIP","CHECKOUTSERVERID","FRAMEINDEX","SCORE","RECT","ACTORID","SCORESUM"
13553993,,,,,,,,,"","",,,,84826,"","",,40750,"0.866819","646, 151, 211, 260",135576,""
13553994,,,,,,,,,"","",,,,84826,"","",,40760,"0.779184","641, 166, 201, 259",135576,""
13553995,,,,,,,,,"","",,,,84826,"","",,40770,"0.794526","654, 165, 200, 255",135576,""
13553996,,,,,,,,,"","",,,,84826,"","",,40780,"0.791129","637, 178, 208, 255",135576,""
13553997,,,,,,,,,"","",,,,84826,"","",,40790,"0.780880","632, 164, 215, 277",135576,""
13553998,,,,,,,,,"","",,,,84826,"","",,40800,"0.815418","644, 168, 209, 262",135576,""
13553999,,,,,,,,,"","",,,,84826,"","",,40810,"0.874414","522, 195, 174, 235",1937,""
13554000,,,,,,,,,"","",,,,84826,"","",,40820,"0.917335","513, 202, 178, 238",1937,""
13554001,,,,,,,,,"","",,,,84826,"","",,40830,"0.877895","553, 256, 188, 241",1937,""
13554002,,,,,,,,,"","",,,,84826,"","",,40840,"0.902389","527, 224, 173, 215",1937,""
13554003,,,,,,,,,"","",,,,84826,"","",,40850,"0.873261","512, 203, 187, 237",1937,""
13554004,,,,,,,,,"","",,,,84826,"","",,40860,"0.897016","516, 207, 174, 219",1937,""
13554005,,,,,,,,,"","",,,,84826,"","",,40870,"0.909433","516, 195, 183, 231",1937,""
13554006,,,,,,,,,"","",,,,84826,"","",,40880,"0.800766","683, 177, 208, 251",135576,""
13554007,,,,,,,,,"","",,,,84826,"","",,40890,"0.813608","695, 176, 196, 238",135576,""
13554008,,,,,,,,,"","",,,,84826,"","",,40900,"0.829140","689, 166, 209, 251",135576,""
13554009,,,,,,,,,"","",,,,84826,"","",,40910,"0.882382","700, 148, 209, 252",135576,""
13554010,,,,,,,,,"","",,,,84826,"","",,40920,"0.906377","527, 180, 179, 232",1937,""
13554011,,,,,,,,,"","",,,,84826,"","",,40930,"0.901212","540, 186, 181, 227",1937,""
13554012,,,,,,,,,"","",,,,84826,"","",,40940,"0.856586","552, 172, 176, 226",1937,""
13554013,,,,,,,,,"","",,,,84826,"","",,40950,"0.902149","570, 184, 185, 233",1937,""
13554014,,,,,,,,,"","",,,,84826,"","",,40960,"0.897726","601, 211, 186, 229",1937,""
13554015,,,,,,,,,"","",,,,84826,"","",,40970,"0.803559","708, 174, 174, 211",135576,""
13554016,,,,,,,,,"","",,,,84826,"","",,40980,"0.523998","760, 184, 143, 194",135576,""
13554017,,,,,,,,,"","",,,,84826,"","",,41000,"0.841328","728, 190, 183, 214",135576,""
13554018,,,,,,,,,"","",,,,84826,"","",,41010,"0.864543","712, 190, 178, 209",135576,""
13554019,,,,,,,,,"","",,,,84826,"","",,41020,"0.662292","756, 172, 59, 73",135576,""
13554020,,,,,,,,,"","",,,,84826,"","",,41020,"0.721408","439, 210, 73, 98",1937,""
13554021,,,,,,,,,"","",,,,84826,"","",,41030,"0.715797","475, 212, 68, 95",1937,""
13554022,,,,,,,,,"","",,,,84826,"","",,41030,"0.705991","766, 169, 60, 76",135576,""
13554023,,,,,,,,,"","",,,,84826,"","",,41040,"0.648990","767, 168, 60, 75",135576,""
13554024,,,,,,,,,"","",,,,84826,"","",,41040,"0.725878","482, 214, 66, 97",1937,""
13554025,,,,,,,,,"","",,,,84826,"","",,41050,"0.681523","768, 167, 60, 74",135576,""
13554026,,,,,,,,,"","",,,,84826,"","",,41050,"0.754854","487, 225, 62, 84",1937,""
13554027,,,,,,,,,"","",,,,84826,"","",,41060,"0.707639","771, 166, 58, 74",135576,""
13554028,,,,,,,,,"","",,,,84826,"","",,41060,"0.715800","472, 214, 65, 94",1937,""
13554029,,,,,,,,,"","",,,,84826,"","",,41070,"0.630844","773, 167, 56, 72",135576,""
13554030,,,,,,,,,"","",,,,84826,"","",,41070,"0.720735","468, 204, 67, 93",1937,""
13554031,,,,,,,,,"","",,,,84826,"","",,41080,"0.673143","777, 163, 59, 75",135576,""
13554032,,,,,,,,,"","",,,,84826,"","",,41080,"0.683860","462, 199, 64, 87",1937,""
13554033,,,,,,,,,"","",,,,84826,"","",,41090,"0.661369","775, 162, 61, 78",135576,""
13554034,,,,,,,,,"","",,,,84826,"","",,41090,"0.678281","410, 181, 62, 87",1937,""
13554035,,,,,,,,,"","",,,,84826,"","",,41100,"0.667023","310, 173, 62, 83",1937,""
13554036,,,,,,,,,"","",,,,84826,"","",,41100,"0.658951","779, 164, 55, 74",135576,""
13554037,,,,,,,,,"","",,,,84826,"","",,41110,"0.643769","787, 162, 56, 73",135576,""
13554038,,,,,,,,,"","",,,,84826,"","",,41120,"0.591344","792, 159, 54, 72",135576,""
13554039,,,,,,,,,"","",,,,84826,"","",,41130,"0.985747","739, 178, 247, 336",4569,""
13554040,,,,,,,,,"","",,,,84826,"","",,41140,"0.986204","739, 179, 246, 334",4569,""
13554041,,,,,,,,,"","",,,,84826,"","",,41150,"0.982899","740, 181, 244, 330",4569,""
13554042,,,,,,,,,"","",,,,84826,"","",,41160,"0.981524","744, 199, 235, 326",4569,""
13554043,,,,,,,,,"","",,,,84826,"","",,41170,"0.985518","742, 180, 243, 330",4569,""
13554044,,,,,,,,,"","",,,,84826,"","",,41180,"0.976571","746, 202, 232, 322",4569,""
13554045,,,,,,,,,"","",,,,84826,"","",,41230,"0.876787","394, 203, 171, 228",135576,""
13554046,,,,,,,,,"","",,,,84826,"","",,41240,"0.867905","529, 212, 164, 217",135576,""
13554047,,,,,,,,,"","",,,,84826,"","",,41250,"0.882997","516, 189, 159, 208",135576,""
13554048,,,,,,,,,"","",,,,84826,"","",,41260,"0.828069","425, 159, 179, 250",135576,""
13554049,,,,,,,,,"","",,,,84826,"","",,41270,"0.889938","342, 174, 190, 246",135576,""
13554050,,,,,,,,,"","",,,,84826,"","",,41280,"0.880626","370, 159, 191, 251",135576,""
13554051,,,,,,,,,"","",,,,84826,"","",,41290,"0.892317","460, 171, 185, 251",135576,""
13554052,,,,,,,,,"","",,,,84826,"","",,41300,"0.756456","564, 226, 175, 239",135576,""
13554053,,,,,,,,,"","",,,,84826,"","",,41310,"0.738169","540, 169, 206, 302",135576,""
13554054,,,,,,,,,"","",,,,84826,"","",,41320,"0.899196","483, 125, 194, 260",135576,""
13554055,,,,,,,,,"","",,,,84826,"","",,41330,"0.920192","702, 189, 150, 209",4569,""
13554056,,,,,,,,,"","",,,,84826,"","",,41340,"0.954625","718, 184, 150, 208",4569,""
13554057,,,,,,,,,"","",,,,84826,"","",,41350,"0.944997","734, 182, 148, 206",4569,""
13554058,,,,,,,,,"","",,,,84826,"","",,41360,"0.955362","735, 182, 156, 218",4569,""
13554059,,,,,,,,,"","",,,,84826,"","",,41370,"0.947521","732, 185, 151, 212",4569,""
13554060,,,,,,,,,"","",,,,84826,"","",,41380,"0.917787","401, 160, 215, 284",135576,""
13554061,,,,,,,,,"","",,,,84826,"","",,41390,"0.924975","397, 147, 201, 261",135576,""
13554062,,,,,,,,,"","",,,,84826,"","",,41400,"0.934089","410, 149, 214, 268",135576,""
13554063,,,,,,,,,"","",,,,84826,"","",,41410,"0.933196","426, 159, 212, 279",135576,""
13554064,,,,,,,,,"","",,,,84826,"","",,41420,"0.918414","425, 162, 206, 266",135576,""
13554065,,,,,,,,,"","",,,,84826,"","",,41430,"0.802279","459, 166, 199, 266",135576,""
13554066,,,,,,,,,"","",,,,84826,"","",,41440,"0.783861","493, 240, 223, 297",135576,""
13554067,,,,,,,,,"","",,,,84826,"","",,41450,"0.818204","491, 218, 225, 301",135576,""
13554068,,,,,,,,,"","",,,,84826,"","",,41460,"0.799421","472, 168, 226, 311",135576,""
13553963,,,,,,,,,"","",,,,84826,"","",,40440,"0.771004","621, 172, 193, 235",135576,""
13554374,,,,,,,,,"","",,,,84826,"","",,51280,"0.500411","551, 126, 230, 284",1937,""
13554478,,,,,,,,,"","",,,,84826,"","",,56140,"0.834103","356, 248, 203, 287",2735,""
13555640,,,,,,,,,"","",,,,84826,"","",,84060,"0.936991","506, 162, 216, 297",1937,""
13555801,,,,,,,,,"","",,,,84826,"","",,88150,"0.729344","194, 152, 101, 129",135576,""
13556022,,,,,,,,,"","",,,,84826,"","",,95350,"0.862185","662, 126, 212, 307",2735,""
13556236,,,,,,,,,"","",,,,84826,"","",,99340,"0.923997","294, 289, 105, 140",145515,""
13557110,,,,,,,,,"","",,,,84826,"","",,118330,"0.838423","584, 205, 187, 267",1937,""
13557206,,,,,,,,,"","",,,,84826,"","",,120220,"0.740304","547, 178, 273, 374",1937,""
13557214,,,,,,,,,"","",,,,84826,"","",,120300,"0.959744","419, 121, 321, 391",1937,""
13557315,,,,,,,,,"","",,,,84826,"","",,123870,"0.856072","337, 172, 198, 270",1937,""
13554069,,,,,,,,,"","",,,,84826,"","",,41470,"0.865805","471, 186, 221, 291",135576,""
13554070,,,,,,,,,"","",,,,84826,"","",,41480,"0.882491","713, 190, 144, 208",4569,""
13554071,,,,,,,,,"","",,,,84826,"","",,41490,"0.946015","711, 176, 159, 221",4569,""
13554375,,,,,,,,,"","",,,,84826,"","",,51410,"0.506875","357, 225, 38, 46",1937,""
13554376,,,,,,,,,"","",,,,84826,"","",,51420,"0.511510","799, 162, 55, 67",90107,""
13554377,,,,,,,,,"","",,,,84826,"","",,51480,"0.581574","421, 105, 245, 307",90107,""
13554378,,,,,,,,,"","",,,,84826,"","",,51490,"0.519002","432, 100, 251, 316",90107,""
13554379,,,,,,,,,"","",,,,84826,"","",,51510,"0.554343","586, 128, 229, 261",1937,""
13554380,,,,,,,,,"","",,,,84826,"","",,51520,"0.501949","581, 122, 227, 271",1937,""
13554381,,,,,,,,,"","",,,,84826,"","",,51530,"0.500061","452, 192, 195, 252",90107,""
13554382,,,,,,,,,"","",,,,84826,"","",,51540,"0.510487","450, 201, 177, 228",90107,""
13554383,,,,,,,,,"","",,,,84826,"","",,51590,"0.545328","395, 128, 184, 233",90107,""
13554384,,,,,,,,,"","",,,,84826,"","",,51600,"0.553297","418, 173, 182, 228",90107,""
13554385,,,,,,,,,"","",,,,84826,"","",,51610,"0.568302","454, 203, 180, 225",90107,""
13554386,,,,,,,,,"","",,,,84826,"","",,51620,"0.578500","473, 227, 188, 236",90107,""
13554387,,,,,,,,,"","",,,,84826,"","",,51630,"0.581158","479, 180, 186, 235",90107,""
13554388,,,,,,,,,"","",,,,84826,"","",,51640,"0.528834","488, 192, 183, 234",90107,""
13554389,,,,,,,,,"","",,,,84826,"","",,51650,"0.529692","481, 194, 185, 229",90107,""
13554390,,,,,,,,,"","",,,,84826,"","",,51660,"0.536392","473, 215, 190, 242",90107,""
13554391,,,,,,,,,"","",,,,84826,"","",,51680,"0.547000","219, 201, 76, 94",25358,""
13554392,,,,,,,,,"","",,,,84826,"","",,51690,"0.569300","310, 229, 75, 95",1937,""
13554393,,,,,,,,,"","",,,,84826,"","",,51690,"0.596364","515, 361, 42, 52",1937,""
13554394,,,,,,,,,"","",,,,84826,"","",,52360,"0.798527","485, 241, 66, 86",90107,""
13554395,,,,,,,,,"","",,,,84826,"","",,52370,"0.813744","493, 226, 70, 88",90107,""
13554396,,,,,,,,,"","",,,,84826,"","",,52380,"0.832008","588, 212, 71, 91",90107,""
13554397,,,,,,,,,"","",,,,84826,"","",,52390,"0.878488","655, 205, 75, 100",90107,""
13554398,,,,,,,,,"","",,,,84826,"","",,52400,"0.870395","668, 199, 76, 102",90107,""
13554399,,,,,,,,,"","",,,,84826,"","",,52410,"0.875740","648, 200, 76, 100",90107,""
13554400,,,,,,,,,"","",,,,84826,"","",,52420,"0.856722","641, 202, 77, 101",90107,""
13554401,,,,,,,,,"","",,,,84826,"","",,52430,"0.602801","864, 165, 38, 64",90107,""
13554402,,,,,,,,,"","",,,,84826,"","",,52450,"0.653706","884, 179, 53, 61",90107,""
13554403,,,,,,,,,"","",,,,84826,"","",,52460,"0.641254","948, 193, 51, 59",90107,""
13554404,,,,,,,,,"","",,,,84826,"","",,52470,"0.739773","1065, 187, 45, 57",90107,""
13554405,,,,,,,,,"","",,,,84826,"","",,52480,"0.561101","1227, 197, 50, 67",90107,""
13554406,,,,,,,,,"","",,,,84826,"","",,52530,"0.651201","1192, 198, 50, 73",90107,""
13554407,,,,,,,,,"","",,,,84826,"","",,52780,"0.686858","610, 207, 201, 235",145515,""
13554408,,,,,,,,,"","",,,,84826,"","",,52850,"0.577476","297, 143, 66, 93",145515,""
13554409,,,,,,,,,"","",,,,84826,"","",,52880,"0.626635","465, 141, 140, 175",145515,""
13554410,,,,,,,,,"","",,,,84826,"","",,52890,"0.692452","571, 162, 131, 177",145515,""
13554411,,,,,,,,,"","",,,,84826,"","",,52900,"0.592799","576, 161, 139, 181",145515,""
13554412,,,,,,,,,"","",,,,84826,"","",,52910,"0.614413","560, 153, 147, 183",145515,""
13554413,,,,,,,,,"","",,,,84826,"","",,52920,"0.665033","528, 179, 132, 172",145515,""
