"MUSICID","VIDEOID","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","SEQUENCE","ALBUM_PACKAGELANGUAGE","ALBUM_TITLEOFFICIAL","ALBUM_YEAR","ALBUM_GENRELEVEL1","ALBUM_GENRELEVEL2","ALBUM_GENRELEVEL3","ALBUM_ALBUMLABEL","ALBUM_TOTALINSET","ALBUM_DISCINSET","ALBUM_TRACKCOUNT","ALBUM_COVERARTURL","ALBUM_TRACK_TRACKGNID","ALBUM_TRACK_TRACKNUMBER","ALBUM_TRACK_TITLEOFFICIAL","CREATETIME","CREATEUSER","CREATEREQIP","MODIFYTIME","MODIFYUSER","DELETETIME","DELETEUSER","DELETEREQIP","DELFLAG","CHECKSTATUS","CHECKOUTSERVERID","ALBUM_CREDIT_NAMEOFFICIAL","ALBUM_CREDIT_ORIGINLEVEL1","ALBUM_CREDIT_ORIGINLEVEL2","ALBUM_CREDIT_ORIGINLEVEL3","ALBUM_CREDIT_ORIGINLEVEL4","ALBUM_CREDIT_ERALEVEL1","ALBUM_CREDIT_ERALEVEL2","ALBUM_CREDIT_ERALEVEL3","ALBUM_CREDIT_ARTISTTYPELEVEL1","ALBUM_CREDIT_ARTISTTYPELEVEL2","ISDUPLICATION","CHUBFILENAME","CHUBFILEPATH","SCENECHUBFILEPATH","SCENECHUBFILENAME","USELIMIT"
425975,84826,"00:42:07;00","00:43:23;23",60572,62417,361,"영어","Elephant",2003,"팝/록","서부 인디 록","인디 록","V2",1,1,14,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/481A/0AC3/26D5/1FB4_large_front.jpg?cid=285322488","38759719-5200714088DD4396C5577301BF4C7F4E",1,"Seven Nation Army",20190621154545,1,"",20190621154545,1,0,0,"",0,0,0,"The White Stripes","북아메리카","미국","미시간","디트로이트","2000년대","2000년대","2000년대","혼성","혼성 듀오",0,"","","","",
425994,84826,"00:44:20;00","00:45:22;23",63760,65269,380,"영어","The Eminem Show",2002,"R&B/힙합","힙합/랩","기타 힙합/랩","Aftermath/Interscope",1,1,20,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/BAE2/2339/3C29/F796_large_front.jpg?cid=285322488","29792745-41BD9FE6FC69A83CFEC6A4725F88535C",10,"Without Me",20190621154545,1,"",20190621154545,1,0,0,"",0,0,0,"Eminem","북아메리카","미국","미시간","디트로이트","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426028,84826,"00:48:18;00","00:48:59;21",69464,70469,414,"영어","Spirit In The Sky",1969,"팝/록","서부 록","70년대 올디스","Reprise",1,1,17,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/535C/9701/011C/0FA5_large_front.jpg?cid=285322488","27661505-9325E218E014E3A7E5F5EF3980484BC4",2,"Spirit In The Sky",20190621154546,1,"",20190621154546,1,0,0,"",0,0,0,"Norman Greenbaum","북아메리카","미국","매사추세츠","매사추세츠","1970년대","70년대 초반","70년대 초반","남성","남성",0,"","","","",
426046,84826,"00:50:24;00","00:51:12;23",72486,73659,432,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651799-20E5273A42663FFE1271050FCFF743EC",8,"A Killer App",20190621154546,1,"",20190621154546,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426090,84826,"00:55:32;00","00:57:44;23",79868,83055,476,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651800-CAF80ACDBC446CD515F98F61FFEAF6FE",9,"That's How I Cut And Run",20190621154547,1,"",20190621154547,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426117,84826,"00:58:41;00","00:59:29;23",84398,85571,503,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651791-B00CFF997C1C6FC5197BFC9AF9EA1A09",10,"We Got A Job To Do",20190621154547,1,"",20190621154547,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426129,84826,"01:00:05;00","01:00:46;23",86412,87419,515,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651801-CEC08F7F762301653494B4431F6D11CE",11,"You Die We Die",20190621154547,1,"",20190621154547,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426142,84826,"01:01:36;00","01:02:31;23",88594,89935,528,"영어","Swing Batta Swing",1993,"R&B/힙합","힙합/랩","기타 힙합/랩","East West Germany",1,1,12,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/2762/5CE4/E20E/BA29_large_front.jpg?cid=285322488","241726462-39663CA6B9FB1A474494A5B4FE811A12",1,"Come Baby Come",20190621154547,1,"",20190621154547,1,0,0,"",0,0,0,"K7","북아메리카","미국","뉴욕","뉴욕시티","1990년대","90년대 중반","90년대 중반","남성","남성",0,"","","","",
426160,84826,"01:03:42;00","01:04:30;23",91614,92787,546,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651801-CEC08F7F762301653494B4431F6D11CE",11,"You Die We Die",20190621154548,1,"",20190621154548,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426182,84826,"01:06:16;00","01:08:07;23",95304,97987,568,"영어","Suicide Squad: The Album - Collector's Edition",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","Atlantic / Warner",1,1,17,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/0D69/3378/DB37/AAAB_large_front.jpg?cid=285322488","658796080-A8E29A41F0A27E97DC4A61B614F9A34E",5,"Gangsta (Harley Quinn & Joker Flashback Version)",20190621154548,1,"",20190621154548,1,0,0,"",0,0,0,"Various Artists","","","","","","","","","",0,"","","","",
426239,84826,"01:12:55;00","01:14:11;23",104870,106713,625,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651803-531791431B8534D23070314E75F95164",13,"This Bird Is Baked",20190621154549,1,"",20190621154549,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426282,84826,"01:17:56;00","01:19:26;23",112084,114263,668,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651804-05C2E28E4E3E2FE61AE94617DB0E5F8D",14,"Hey Craziness",20190621154549,1,"",20190621154549,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426307,84826,"01:20:51;00","01:22:49;23",116280,119131,693,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651805-C6C100A6AF5CCB5C7194CD9DDD1AB741",15,"You Need A Miracle",20190621154549,1,"",20190621154549,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426324,84826,"01:22:50;00","01:23:45;23",119132,120473,710,"영어","Tell Mama",1968,"R&B/힙합","R&B/소울","클래식 R&B","Cadet",1,1,12,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/E4EB/3044/C09A/2705_large_front.jpg?cid=285322488","2927704-F589AFD99725BA9FF267BDD8CFB579E1",2,"I'd Rather Go Blind",20190621154550,1,"",20190621154550,1,0,0,"",0,0,0,"Etta James","북아메리카","미국","캘리포니아","로스앤젤레스","1960년대","1960년대","1960년대","여성","여성",0,"","","","",
426338,84826,"01:24:28;00","01:25:30;23",121480,122989,724,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651806-5767B4041BC8C36A754F980A9620B586",16,"Diablo's Story",20190621154550,1,"",20190621154550,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426361,84826,"01:27:09;00","01:30:03;23",125338,129533,747,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651807-5E7274D61F10D46FB8C24C85998EA7F8",17,"The Squad",20190621154550,1,"",20190621154550,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426401,84826,"01:31:49;00","01:32:09;23",132052,132553,787,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651819-929198226348DCA13B7EBAF1680F0FEC",29,"Can Everyone See This Trippy Stuff?",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426440,84826,"01:36:22;00","01:37:45;23",138594,140607,826,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651808-030E1291157D1CA8E954487444411742",18,"Are We Friends Or Are We Foes?",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426473,84826,"01:40:13;00","01:42:32;23",144132,147487,859,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651809-E261CBF3073398E28FDF51C72E46BE31",19,"She's Behind You",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426500,84826,"01:43:22;00","01:45:41;23",148662,152017,886,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651810-51E8CDFE16304F2425F7BB8D6917D538",20,"One Bullet Is All I Need",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426530,84826,"01:46:52;00","01:48:15;23",153696,155707,916,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651811-3930181ECDEF2B859C9466579A233554",21,"I Thought I'D Killed You",20190621154552,1,"",20190621154552,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426547,84826,"01:48:51;00","01:49:25;23",156548,157385,933,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651811-3930181ECDEF2B859C9466579A233554",21,"I Thought I'D Killed You",20190621154552,1,"",20190621154552,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426563,84826,"01:50:43;00","01:51:45;23",159234,160743,949,"영어","A Night At The Opera",1975,"팝/록","서부 록","앨범 지향적 록","EMI",1,1,12,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/6AC0/EC8C/735A/61A3_large_front.jpg?cid=285322488","7294296-A2DBB39262A11FAEEB970E3293B32562",11,"Bohemian Rhapsody",20190621154552,1,"",20190621154552,1,0,0,"",0,0,0,"Queen","서유럽","연합 왕국, 영국","영국","런던","1970년대","1970년대","1970년대","남성","남성 그룹",0,"","","","",
426575,84826,"01:52:07;00","01:52:27;23",161246,161749,961,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651820-619665392456C9CBB87F96E63A58EFD5",30,"I Promised My Friends",20190621154553,1,"",20190621154553,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426578,84826,"01:52:28;00","01:54:47;23",161750,165105,964,"영어","Heathens [Single]",2016,"팝/록","서부 인디 록","인디 팝","Atlantic Records",1,1,1,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/05D2/BEDA/AD39/187A_large_front.jpg?cid=285322488","640488914-2175C89DF52F464CDA0CA8A7216BF2DC",1,"Heathens",20190621154553,1,"",20190621154553,1,0,0,"",0,0,0,"Twenty One Pilots","북아메리카","미국","오하이오","콜럼버스, 오하이오","2010년대","2010년대","2010년대","남성","남성 듀오",0,"","","","",
426602,84826,"01:55:16;00","01:55:36;23",165776,166279,988,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651792-797C5B1B320F0EBD2518F2A175586A82",1,"Task Force X",20190621154553,1,"",20190621154553,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
426608,84826,"01:55:58;00","01:58:59;21",166784,171143,994,"영어","Sucker For Pain [Single]",2016,"R&B/힙합","R&B/소울","어번 크로스오버","Atlantic",1,1,1,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/2C88/7A07/7C3F/0AF3_large_front.jpg?cid=285322488","640493398-802469F22AEE11A72382E0D6D6FDF372",1,"Sucker For Pain",20190621154553,1,"",20190621154553,1,0,0,"",0,0,0,"Lil Wayne, Wiz Khalifa & Imagine Dragons Feat. Logic, Ty Dolla $ign & X Ambassadors","북아메리카","미국","미국","미국","2010년대","2016","2016","남성","남성 그룹",0,"","","","",
426635,84826,"01:59:07;00","02:02:57;23",171312,176851,1021,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651812-61B168CAD99397BBA3D91AA49A39B67C",22,"The Worst Of The Worst",20190621154554,1,"",20190621154554,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
